articleID,domain,date,category,source,relation,F-type,label
1,bd-pratidin.com,2018-09-20 08:16:43,Sports,আফগান ক্রিকেট বোর্ড (এসিবি) প্রধান,Related,,1.0
2,jugantor.com,2018-09-20 20:20:20,Sports,Reporter,Related,,1.0
3,bd24live.com,2018-09-20 16:39:40,National,Reporter,Related,,1.0
4,bd24live.com,2018-09-19 18:27:56,National,জননিরাপত্তা বিভাগের সচিব,Related,,1.0
5,somoynews.tv,2018-09-20 10:15:28,Finance,পেট্রোল পাম্প মালিক সমিতি সভাপতি,Related,,1.0
6,samakal.com,2018-09-22 18:01:42,National,প্রধান নির্বাচন কমিশনার (সিইসি),Related,,1.0
7,channelionline.com,2018-09-20 15:40:46,Sports,Not Found,Related,,1.0
8,ittefaq.com.bd,2018-09-20 16:50:33,National,শিক্ষামন্ত্রী,Related,,1.0
9,rtnn.net,2018-09-22 07:08:40,National,প্রধানমন্ত্রী,Related,,1.0
10,dhakatimes24.com,2018-09-21 22:11:33,Sports,reporter,Related,,1.0
11,bd24live.com,2018-09-20 14:51:53,National,স্বাস্থ্যমন্ত্রী,Related,,1.0
12,dhakatimes24.com,2018-09-20 20:11:35,Miscellaneous,সোনালী ব্যাংক লিমিটেড ওয়েবসাই,Related,,1.0
13,rtnn.net,2018-09-21 08:21:25,International,তুরস্কের প্রেসিডেন্ট,Related,,1.0
14,channelionline.com,2018-09-20 12:39:09,Sports,"মাশরাফী,  বিসিবি",Related,,1.0
15,jagonews24.com,2018-09-20 14:12:33,International,বিবিসি ওয়ার্ল্ড,Related,,1.0
16,jagonews24.com,2018-09-20 18:24:22,Entertainment,অভিনেত্রী,Related,,1.0
17,channelionline.com,2018-09-20 17:26:06,Sports,reporter,Related,,1.0
18,ittefaq.com.bd,2018-09-21 16:49:24,Sports,Reporter,Related,,1.0
19,rtnn.net,2018-09-23 17:22:30,International,reporter,Related,,1.0
20,risingbd.com,2018-09-20 11:16:20,Sports,Reporter,Related,,1.0
21,bd-pratidin.com,2018-09-22 08:16:47,International,রাশিয়ার পররাষ্ট্রমন্ত্রী,Related,,1.0
22,dhakatimes24.com,2018-09-22 14:23:12,International,বিবিসি,Related,,1.0
23,dailyjanakantha.com,2018-09-19 19:36:53,National,জেলা পুলিশ সুপার,Related,,1.0
24,rtnn.net,2018-09-21 12:34:59,National,প্রধানমন্ত্রীর কার্যালয়,Related,,1.0
25,kalerkantho.com,2018-09-22 02:13:40,International,reporter,Related,,1.0
26,banglanews24.com,2018-09-21 14:37:29,Finance,Reporter,Related,,1.0
27,kalerkantho.com,2018-09-21 02:13:52,Miscellaneous,Reporter,Related,,1.0
28,banglanews24.com,2018-09-22 19:53:46,Editorial,reporter,Related,,1.0
29,samakal.com,2018-09-22 17:26:13,Miscellaneous,সংবাদ বিজ্ঞপ্তি,Related,,1.0
30,banglatribune.com,2018-09-20 18:07:46,Education,হলের প্রাধ্যক্ষ,Related,,1.0
31,banglanews24.com,2018-09-20 16:20:47,National,"ভান্ডারবাড়ী ইউনিয়নের চেয়ারম্যান ,",Related,,1.0
