comment,language,platform,emotion,stance,label
"একটি যৌক্তিক, শান্তিপূর্ণ, অহিংস আন্দোলন করছিল  তখন কেনো আলোচনায় বসলেন না? এতো হত্যাযজ্ঞ চালালেন কেনো?",Bangla,YouTube,Anger,Pro-Uprising,Positive
কোন সংলাপ হবে না। খুনি হাসিনার পদত্যাগ চাই এবং কঠোর শাস্তি চাই।,Bangla,Facebook,Anger,Pro-Uprising,Positive
"সব কয়টা রাজনৈতিক করে,এরা কেউ সাধারন শিক্ষার্থী নয়",Bangla,YouTube,Anger,Pro-Uprising,Negative
অপরাধের কোন ধর্ম দলীয় পরিচয় নেই। অপরাধী রাষ্ট্রীয় আইনের কাঠামোয় বিচার হবে এর জন্য দল দায়ভার নেবে না।,Bangla,Facebook,Neutral,Neutral,Neutral
ইউনুস সরকার হিন্দুদের অত্যাচার করছে।,Bangla,Facebook,Anger,Anti-Uprising,Negative
২/৩ লাখ আমলাকে বরখাস্ত করা হোক এবং যারা বড় বড় অন্যায় দুর্নীতিতে জড়িত তাদেরকে আইনের আওতায় আনা হোক,Bangla,YouTube,Anger,Pro-Uprising,Positive
বিগত ১৫ বছরে চিহ্নিত আওয়ামী লীগের দোসর এই আমলাদের খুঁজে বের করে চাকরি থেকে স্থায়ীভাবে বহিষ্কার ও শাস্তির ব্যবস্থা করতে হবে।,Bangla,YouTube,Anger,Pro-Uprising,Positive
যে যত বড় ভারত বিদ্বেষী সে তত বড় বাংলাদেশ প্রেমিক।,Bangla,YouTube,Hope,Pro-Uprising,Positive
"উনি দেশ ছাড়েননি, উনি পালিয়েছেন।",Bangla,YouTube,Anger,Pro-Uprising,Positive
ঘৃণিত লোককে ঘৃণা করবে এটাই তো স্বাভাবিক।,Bangla,YouTube,Anger,Pro-Uprising,Positive
দ্বিতীয় স্বাধীনতা বলতে কষ্ট হয়?,Bangla,YouTube,Sadness,Pro-Uprising,Positive
হাসিনাকে স্বৈরাচার বলতে কষ্ট হয়?,Bangla,YouTube,Anger,Pro-Uprising,Positive
জয় বাংলা জয় বঙ্গবন্ধু মমতাময়ী মা দেশরত্ন শেখ হাসিনা সরকার বারবার দরকার,Bangla,YouTube,Anger,Anti-Uprising,Negative
জয়বাংলা জয় বঙ্গবন্ধু। কিছু সন্ত্রাসী ছাত্রদের জন্য দেশে কোন শান্তি নেই।,Bangla,YouTube,Anger,Anti-Uprising,Negative
সমন্বয়ক হঠাও দেশ বাঁচাতে এগিয়ে আসুন,Bangla,YouTube,Anger,Anti-Uprising,Negative
৭১ এর স্বাধীনতা দেখি নাই তবে ২৪ এ স্বাধীনতায় রাজপথে থাকতে পেরেছি  আলহামদুলিল্লাহ ,Bangla,YouTube,Hope,Pro-Uprising,Positive
বাবা তোর বয়স কত রে স্যালুট জানাই তোদের মত বীর যোদ্ধাদের।,Bangla,YouTube,Hope,Pro-Uprising,Positive
"পরশু নয়, কালই লংমার্চ, ইতিহাসের সেরা সিদ্ধান্ত ছিলো!",Bangla,YouTube,Hope,Pro-Uprising,Positive
এই ভাষণটা যতোবারই শুনি গায়ের পশম দাড়িয়ে যায় ! কী অসীম সাহস এই ছোট ছোট বাচ্চাদের বুকে আল্লাহ দিয়েছিলেন!,Bangla,YouTube,Hope,Pro-Uprising,Positive
ভাই তোদের এই সিদ্ধান্তের জন্য আজ আমরা স্বাধীনতা পেয়েছি।,Bangla,YouTube,Hope,Pro-Uprising,Positive
চোখের পানি ধরে রাখতে পারলাম না ভাই স্যালুট জানাই ছাত্র -ছাত্রী ভাই বোনদের ,Bangla,YouTube,Hope,Pro-Uprising,Positive
ছাত্ররাই হবে পরবর্তী দেশনায়ক। ইনশাল্লাহ।,Bangla,YouTube,Hope,Pro-Uprising,Positive
যতবার দেখছি ততবার শরীরের লোম দাড়ায় যাইতাছে,Bangla,YouTube,Hope,Pro-Uprising,Positive
একটা রিকশাওয়ালাও এই অন্যায়ের মন থেকে প্রতিবাদ জানাচ্ছে,Bangla,YouTube,Hope,Pro-Uprising,Positive
এই ১৫বছরে মানুষ যেভাবে অত্যাচার সহ্য করেছে আজ তারা মন খুলে বলতে পারছে,Bangla,YouTube,Anger,Pro-Uprising,Positive
সত্যিই জেগে উঠেছে বাংলাদেশ।,Bangla,YouTube,Hope,Pro-Uprising,Positive
১ দফা.....  কাল থেকে সবাইকে লাঠি মহিলাদের ঝাডু হাতে আসার আহবান ,Bangla,YouTube,Hope,Pro-Uprising,Positive
প্রতিবাদের ভাষার ডাইভারসিটি। এক কথায় অসাধারণ। বিজয় আমাদের হবেই। ইতিহাসের সাক্ষী হয়ে গেলাম।,Bangla,YouTube,Hope,Pro-Uprising,Positive
সত্যিই আমি ভেবেছিলাম দেশটা মনে হয় চিরতরে ধ্বংস হয়ে গেছে!! কিন্তু এই জেনারেশনের ছেলেরা যে এতো সাহসী তা কল্পনাও করি নাই।,Bangla,Facebook,Anger,Pro-Uprising,Positive
এক দফা এক দাবি ক্ষমতা ছেড়ে কখন যাবি,Bangla,Facebook,Hope,Pro-Uprising,Positive
চাচতো ভাই ও বোনেরা তোমরা মাঠে থাকোআমরা প্রবাসী ভাইয়েরা তোমরা সাথে আছি একমত,Bangla,Facebook,Hope,Pro-Uprising,Positive
“স্বৈরাচারমুক্ত বাংলাদেশ চাই”,Bangla,Facebook,Anger,Pro-Uprising,Positive
সত্যিকারের স্বাধীন নতুন এক বাংলাদেশের ভবিষ্যৎ দেখতে পাচ্ছি।,Bangla,Facebook,Hope,Pro-Uprising,Positive
কাল হাতে হাতে লাঠি নিয়ে আসতে হবে,Bangla,Facebook,Hope,Pro-Uprising,Positive
কথা বলার ভাষা কেড়ে নিতে চেয়েছে ১৫ বছর ধরে এখন মন খুলে কথা বলছে ,Bangla,Facebook,Hope,Pro-Uprising,Positive
একদফা একদাবির সাথে সহমত পোষণ করছি!! সকল কে লাল শুভেচ্ছা !! আপনারা এগিয়ে যান বিজয় হবেই ইনশাআল্লাহ!!!,Bangla,Facebook,Hope,Pro-Uprising,Positive
আমাদের বাংলাদেশের আকাশ থেকে কালো মেঘ উড়ে যাক আবার শান্তির পায়রা উড়ুক।,Bangla,Facebook,Hope,Pro-Uprising,Positive
এই সরকারের পতন হলে একটা মন্ত্রী ও যেন দেশ ছেড়ে পালাইতে না পারে সেই দিকে নজর রাখতে হবে ভাইয়েরা ,Bangla,Facebook,Hope,Pro-Uprising,Positive
এতদিন শুধু বই পুস্তকে পড়েছিলাম অসহযোগ আন্দোলনের কথা কাল হয়তো দেখতে যাচ্ছি সেই অসহযোগ আন্দোলন আমার সোনার বাংলাদেশ,Bangla,Facebook,Hope,Pro-Uprising,Positive
রক্ত খেকো মা তোমার অভিনয় আর মানুষ গেলে না তুমি যত দ্রুত সম্ভব গণভবন ত্যাগ কর,Bangla,Facebook,Hope,Pro-Uprising,Positive
আলহামদুলিল্লাহ আমরাও সাধারণ মানুষ সাধারণ শিক্ষার্থীদের সাথে আছি এবং থাকবো মহান আল্লাহ তায়ালা সাহায্য করুন।।,Bangla,Facebook,Hope,Pro-Uprising,Positive
সঠিক সিদ্ধান্ত নেওয়ার জন্য অসংখ্য ধন্যবাদ সমন্বয়কদের,Bangla,Facebook,Hope,Pro-Uprising,Positive
ছাত্রদের বিজয় আসবে ইনশাল্লাহ,Bangla,Facebook,Hope,Pro-Uprising,Positive
জেগে ওঠো বন্ধুরা সবাই এক হও এক দফা এক দাবি সবাই রাস্তায় আসো আর ঘুমিয়ে থেকো না,Bangla,Facebook,Hope,Pro-Uprising,Positive
রক্তে আগুন ছাত্রদের।। আল্লাহ কি অদম্য সাহস দিয়েছো তুমি ছাত্রদের মাঝে? বাংলার এক একটি বাঘ যেন ওরা,Bangla,Facebook,Fear,Pro-Uprising,Positive
ক্ষমা নয় পদত্যাগ চাই।,Bangla,Facebook,Anger,Pro-Uprising,Positive
"আপা ডাকছে, আলোচনায় আসেন গণভবনের দরজা খোলা। ছাত্রদের জবাব, সে দরজা দিয়ে আপনি বেরিয়ে যান, ব্যাস।",Bangla,Facebook,Hope,Pro-Uprising,Positive
কোনো বৈঠক নেই সব হবে রাজপথে ইনশাআল্লাহ,Bangla,Facebook,Hope,Pro-Uprising,Positive
ভাই আমি সবাইকে অনুরোধ করবো। আগামীকাল অসহযোগ আন্দোলনে হাতে বাঁশ নিয়ে বাংলাদেশের পতাকা জুলিয়ে আনবেন যাতে করে নিজেকে নিরাপত্তা রাখা যায়।,Bangla,Facebook,Fear,Pro-Uprising,Positive
আমরা সংলাপ চাইনা। আমরা আমাদের ভাই বোনদের রক্তের হিসেব চাই। আমরা এই নেত্রীর পদত্যাগ চাই,Bangla,Facebook,Anger,Pro-Uprising,Positive
"একটি যৌক্তিক, শান্তিপূর্ণ, অহিংস আন্দোলন করছিল  তখন কেনো আলোচনায় বসলেন না? এতো হত্যাযজ্ঞ চালালেন কেনো?",Bangla,Facebook,Anger,Pro-Uprising,Positive
আমি যুদ্ধ দেখেনি দেখেছি ২০২৪ এর নতুন ইতিহাস আসা করছি দেশ স্বাধীন হবে ইনশাআল্লাহ,Bangla,Facebook,Hope,Pro-Uprising,Positive
কোন সংলাপ হবে না। পদত্যাগ চাই এবং কঠোর শাস্তি চাই,Bangla,Facebook,Anger,Pro-Uprising,Positive
বৈষম্যবিরোধী আন্দোলন করতে গিয়ে যারা শহীদ হয়েছে আল্লাহ তায়ালা তাদের জান্নাত দান করুন।,Bangla,Facebook,Sadness,Pro-Uprising,Positive
"রাষ্ট্রপতির দ্রুত পদত্যাগ চাই, না হলে সামনে সমূহ বিপদ।",Bangla,Facebook,Anger,Pro-Uprising,Positive
এই আন্দোলনকারী শিক্ষার্থীদের কথা যতই শুনি ততোবারই মনের থেকে অন্তরের থেকে এদের জন্য দোয়া এবং ভালোবাসা আসে এদের কথা শুনলে মনের ভিতরে নতুন করে আশা জন্ম নেয়। আল্লাহ ওয়েদার নেক হায়াত দান করুন দেশের কাজের জন্য জনগণের সেবার জন্য আল্লাহ যেন তৌফিক দান করেন।,Bangla,YouTube,Hope,Pro-Uprising,Positive
"৫-ই এবং ১৫-ই আগস্ট দুই শৈরাচারের পতনে লজ্জা বোধ করছি, তাই ৩৬ জুলাই আবিষ্কার। আগস্ট মোর গর্ব।",Bangla,YouTube,Hope,Pro-Uprising,Positive
বয়কট প্রথম আলো। ,Bangla,YouTube,Anger,Pro-Uprising,Positive
"শুধু পুলিশ কেন? বিজিবি, আনসার, এমনকি সেনাবাহিনীকেও এই হত্যার দায় নিতে হবে।",Bangla,YouTube,Anger,Pro-Uprising,Positive
প্লিজ আগে দূরত আহত দের চিকিৎসার ব্যবস্থা করেন।,Bangla,YouTube,Hope,Pro-Uprising,Positive
বিজয় দিবস।,Bangla,YouTube,Hope,Pro-Uprising,Positive
আমাদের জেনারেশন জি এর মাধ্যমে 36 জুলাইয়ে আমাদের নতুন স্বাধীনতা এসেছে।,Bangla,YouTube,Hope,Pro-Uprising,Positive
"শাক দিয়ে মাছ ঢাকার চেষ্টা। তাই তো ৩৬ শে জুলাই, আরও যে কত কি দেখবো শুনবো।",Bangla,YouTube,Anger,Pro-Uprising,Negative
তোমাদের বাপদের কাছ থেকে এই ৩৬ জুলাই আগে সংস্কার করে এসো অতি শিক্ষিত সমাজ।,Bangla,YouTube,Anger,Pro-Uprising,Negative
যুক্তির বলৎকার।,Bangla,YouTube,Anger,Pro-Uprising,Negative
"মনে হচ্ছে ১৫ বছর পরে মুক্তভাবে সঠিকটা তুলে ধরেছেন এবং প্রতিবেদনটি স্বাধীনভাবে করেছেন, ধন্যবাদ সত্যটা তুলে ধরার জন্য বাংলাভিশনকে।",Bangla,YouTube,Hope,Pro-Uprising,Positive
"এই সম্পূর্ণ বিষয় গুলি গত কয়েক দিনের ঘটে যাওয়া ঘটনা, যা আমরা সবাই জানি, তোবুও আমি খুবি মনোযোগ দিয়ে এই ভিড়িও টা দেখেছি, আপনার উপস্থাপনায় কথা গুলি সব কলিজায় লেগেছে, এখন হুবহু এই নিউজ টা আমি খাতায় লিপিবদ্ধ করবো।",Bangla,YouTube,Hope,Pro-Uprising,Positive
আমি কোনদিন কোন সংবাদ প্রচারে কোন কমেন্ট করিনি কিন্ত বাংলা ভিশণের এতো সুন্দর নিখুত সংবাদ টি আমার এতো ভালো লেগেছে যা ভাষায় প্রকাশ করতে পারছি না। ধন্যবাদ বাংলা ভিষন কে। সদা সত্যের পথে থাকুন ভালোবাসা এমনি পেয়ে যাবেন। ,Bangla,YouTube,Hope,Pro-Uprising,Positive
প্রায় ১৫ মিনিটের এই প্রতিবেদন যেন এক জলন্ত ইতিহাসের সব চিত্র ফুটে উঠেছে। এতো অল্প সময়ে অনেক ভালো একটা প্রতিবেদন তৈরী করার জন্য ধন্যবাদ জানাই বাংলাভিশনকে।,Bangla,YouTube,Hope,Pro-Uprising,Positive
২য় স্বাধীনতার পুরো ইতিহাস এই ভিডিওতে। ধন্যবাদ বাংলা ভিশন কে।,Bangla,YouTube,Hope,Pro-Uprising,Positive
"১৪ মিনিট ৪৮ সেকেন্ড এর পুরো ভিডিওতে আমার হাত পায়ের লোম দাড়িয়ে ছিল, আর মনে অন্যরকম এক অনুভূতি কাজ করেছে, আমিও এই আন্দোলনের এক সাধারন যুদ্ধা। রিপোটার কে ধন্যবাদ খুব সুন্দর উপস্থাপনা।",Bangla,YouTube,Hope,Pro-Uprising,Positive
"৬ সমন্বয়কের কথা বলতেই পুরো শরীরের লোম দাঁড়িয়ে গিয়েছে, তোমাদের মত বীর সন্তানদের মা বাবাকে হাজারো সেলুট।",Bangla,YouTube,Hope,Pro-Uprising,Positive
"একটা ওয়েবসাইট করা হোক, যেখানে এই সব তথ্য সংরক্ষন থাকবে, যাতে করে পরবর্তী প্রজন্ম সঠিক ইতিহাস জানতে পারে।",Bangla,YouTube,Hope,Pro-Uprising,Positive
শুভকামনা সত্য কে সত্য বলার জন্য।,Bangla,YouTube,Hope,Pro-Uprising,Positive
"বিগত ১৬ বছরের ক্রাইমগুলোকে নিয়ে যদি আগামী ১০০ বছর ক্রাইম থ্রিলার মুভি বানানো হয়, তারপরেও শেষ হবে না। এক একটা বিচ্ছিন্ন ঘটনা এক একটা হিট।",Bangla,YouTube,Hope,Pro-Uprising,Positive
তারা আমাদের জীবনে অভিশাপ হয়ে এসেছিল আবার কোটি মানুষের অভিশাপ নিয়ে চলে গেল। বেশ কিছু অভিশাপ আমাদের মাঝে রেখে গেল। ,Bangla,YouTube,Hope,Pro-Uprising,Positive
শেখ হাসিনা নিঃসন্দেহে ভালো ছিল কিন্তু তার অন্যান্য মন্ত্রীদের অতিরিক্ত দুর্নীতির কারণে আজকে এই অবস্থা। তবে বঙ্গবন্ধু জাতির সর্বশ্রেষ্ঠ অভিভাবক সেটা কেউ ভুলবেন না ভাই কারণ তার কারণেই আমরা স্বাধীন দেশ পেয়েছি। ছাত্রদের কারণে আজকের এই পরিবর্তন আর এই পরিবর্তন স্বাভাবিক থাক সেটাই চাই।,Bangla,YouTube,Anger,Anti-Uprising,Negative
ইনশাআল্লাহ কথা দিলাম এই বাংলার একজন সাধারন নাগরিক হিসেবে আমার পক্ষে যতটুকু সম্ভব রাষ্ট্রকে সহায়তা করব।,Bangla,YouTube,Hope,Pro-Uprising,Positive
লাভ ইউ বাংলাদেশের ছাত্র ছাত্রীদের। অসম্ভবকে সম্ভব করার জন্য হাজারো মানুষের রক্তের বিনিময়ে।,Bangla,YouTube,Hope,Pro-Uprising,Positive
শেখ হাসিনা ক্ষমতায় থাকলে এই খবর প্রচার করার সাহস কোন সাংবাদিক এর হতো না।,Bangla,YouTube,Hope,Pro-Uprising,Positive
নৌকা আবার চাই।,Bangla,YouTube,Anger,Pro-Uprising,Negative
সত্য কখনো চাপা থাকে না। ধন্যবাদ বাংলাভিশনকে সত্য তুলে ধরার জন্য।,Bangla,YouTube,Hope,Pro-Uprising,Positive
তোমাদের প্রতিটা বোনকে আমার থেকে কোটি কোটি প্রণাম। যেন তোমাদের পূর্বজন্মে অনেক সুখের হয়।,Bangla,YouTube,Hope,Pro-Uprising,Positive
টিক বলছেন ভাই এগিয়ে যাও দোয়া আছে।,Bangla,YouTube,Hope,Pro-Uprising,Positive
"আসসালামুআলাইকুম। এসব অধিকার সহ মানুষের সকল প্রকার সমস্যার সমাধান করবে ও পূরণ করবে সেই সংবিধানটির নাম ""পবিত্র আল কুরআন""। ",Bangla,YouTube,Hope,Pro-Uprising,Positive
দেখো টাকার কাছে বিক্রি হইয়ো না। ,Bangla,YouTube,Anger,Pro-Uprising,Negative
তোমার কাজে কথার মিল নাই ভাই তুমি বলো একটা করো আরেকটা।,Bangla,YouTube,Anger,Pro-Uprising,Negative
৫ আগস্টের পর কে কে আবারো ছোট্ট গবেষক হিসেবে শুনতে এসেছেন?,Bangla,YouTube,Neutral,Neutral,Neutral
প্রধানমন্ত্রী কিভাবে কোঠা বাতিল করবেন? উনি নিজেই তো উনার বাবার কোঠায় প্রধানমন্ত্রী হয়ে বসে আছে। ওনি কি সরাসরি পাবলিকের ভোটে নির্বাচিত প্রধানমন্ত্রী নাকি? ,Bangla,YouTube,Hope,Pro-Uprising,Positive
৭১ টিভিকে ধন্যবাদ। আপনাদের প্রশ্নের জন্য মুখ ফসকে বের হয়ে গেলো। আর পরিনতি জয় বাংলা। ,Bangla,YouTube,Hope,Anti-Uprising,Positive
এই একটি মাত্র ডায়লগে আপনি জয় বাংলা হইয়া গেলেন।,Bangla,YouTube,Hope,Anti-Uprising,Positive
"জীবনে এই প্রথম ধৈর্য্য ধরে পুরা ৫ মিনিট উনার কথা শুনলাম, যদিও শরীর আমার পুড়ে যাচ্ছিলো।",Bangla,YouTube,Hope,Pro-Uprising,Positive
"কালকে ঘুম থেকে উঠে যদি শুনতাম হাসিনা আর নেই। শুধু আলহামদুলিল্লাহ বলে ২রাকাত শোকরানা নামাজ পড়তাম, কিছু দান খয়রাত করতাম।",Bangla,YouTube,Sadness,Pro-Uprising,Positive
কে কে হাসিনা পতনের পর দেখতে আসছেন।,Bangla,YouTube,Hope,Pro-Uprising,Positive
আপনাকে ধন্যবাদ এই ভাষন টার জন্য। যার জন্য আজকে আমরা স্বাধীন।,Bangla,YouTube,Hope,Pro-Uprising,Positive
"স্লোগানটা ভালই লাগলো শিক্ষার্থীদের। আজকের স্লোগান ""পুলিশ ছাড়া মাঠে নাম ভুলিয়ে দেব বাপের নাম""।",Bangla,YouTube,Hope,Pro-Uprising,Positive
৭১ টিভি চ্যানেলের সাংবাদিক দের বয়কট করা দরকার।,Bangla,YouTube,Anger,Pro-Uprising,Positive
প্রধানমন্ত্রীর মুখে আদালত শুনে হাসি পায়।,Bangla,YouTube,Hope,Pro-Uprising,Positive
সাংবাদিক আপুর এই গুরুত্বপূর্ণ প্রশ্নটির জন্য আজ আমরা স্বাধীন।,Bangla,YouTube,Hope,Pro-Uprising,Positive
আল্লাহ যেনো এর বয়স ৭৬ থেকে ৭৭ না নেয়। গজব আসবে।,Bangla,YouTube,Hope,Pro-Uprising,Positive
"হে আল্লাহ বাপ, ভাই, জামাই থেকে বিচ্ছিন্ন মহিলাকে দ্রুত তার পরিবারের সাথে মিলিয়ে দিন, আমিন।",Bangla,YouTube,Hope,Pro-Uprising,Positive
আল্লাহ কোটা আন্দোলনকারী ভাই-বোনদের জীবনের হেফাজত করুন।,Bangla,YouTube,Hope,Pro-Uprising,Positive
শয়তানের পতন হয়েছে আলহামদুলিল্লাহ।,Bangla,YouTube,Hope,Pro-Uprising,Positive
"২ লাখ ৩৫ হাজার মুক্তিযোদ্ধার ছেলে-মেয়ে,নাতি-নাতনি কোটা সুবিধা পায়। কিন্তু ৩০ লক্ষ্য শহিদের সন্তানরা কি পেল?",Bangla,YouTube,Sadness,Pro-Uprising,Positive
"আদালতের উপর হস্তক্ষেপ করার অধিকার নাই, কিন্তু সাধারণ ছাত্রছাত্রীদের উপর আঘাত করার অধিকার কোন সংবিধান রয়েছে?",Bangla,YouTube,Hope,Pro-Uprising,Positive
বিনা ভোটের প্রধানমন্ত্রীর কথা।,Bangla,YouTube,Hope,Pro-Uprising,Positive
বিনা ভোটের প্রধানমন্ত্রী তিনি কি রায় দিবে।,Bangla,YouTube,Hope,Pro-Uprising,Positive
"দ্বিমুখী! আল্লাহ হেদায়েত দান করুন, না হলে ধ্বংস করুন।",Bangla,YouTube,Anger,Pro-Uprising,Positive
"হে আল্লাহ, কোনো এক জনের মৃত্যুতে আলহামদুলিল্লাহ বলার অপেক্ষা করতেছি।",Bangla,YouTube,Hope,Pro-Uprising,Positive
জীবনে একজন মানুষের মৃত্যুতে আলহামদুলিল্লাহ বলার ইচ্ছে রইল।,Bangla,YouTube,Hope,Pro-Uprising,Positive
সবকিছুর জন্য দায়ী প্রধানমন্ত্রী নিজে।,Bangla,YouTube,Hope,Pro-Uprising,Positive
আল্লাহ আল্লাহ ওকে ধ্বংস করে জাতিকে মুক্তি দাও। আল্লাহ কবুল করুন।,Bangla,YouTube,Hope,Pro-Uprising,Positive
যমুনা টেলিভিশন কে অনেক ধন্যবাদ।,Bangla,YouTube,Hope,Pro-Uprising,Positive
ছাত্রলিগ তাহলে আইন-প্রশাসন? ছাত্রলিগ নিজের গতিতে চলবে?,Bangla,YouTube,Hope,Pro-Uprising,Positive
খুব সুন্দর কথা বলেন বাংলাদেশের প্রধানমন্ত্রী। অনেক অনেক ধন্যবাদ।,Bangla,YouTube,Hope,Pro-Uprising,Negative
মাননীয় প্রধানমন্ত্রী সকল কোটা বাতিল করে মেধার ভিত্তিতে নিয়োগ দেন।,Bangla,YouTube,Hope,Pro-Uprising,Positive
"আমি 1952 দেখিনি, কিন্তু 2024 সালের 16 জুলাই দেখেছি।",Bangla,YouTube,Hope,Pro-Uprising,Positive
"ওনার কারনে মুক্তি যোদ্ধাদের সম্মান নষ্ট হচ্ছে, বিতর্কিত হয়ে যাচ্ছে, যা কখনোই উচিৎ না, মুক্তিযোদ্ধারা সবার কাছে শ্রেষ্ঠ সম্মানী ব্যাক্তি।",Bangla,YouTube,Hope,Neutral,Neutral
"চ্যানেল গুলো থেকে আসল নিউজ পাওয়া যায় না, কিন্তু যমুনা টিভি কিছু সত্য পাওয়া যায়। ",Bangla,YouTube,Hope,Pro-Uprising,Positive
আল্লাহ সবচেয়ে উত্তম বিচারক।,Bangla,YouTube,Neutral,Neutral,Neutral
হাহা! এখন কোথায় ম্যাম আপনি? কোথায় ছিলেন কোথায় চলে গেলেন।,Bangla,YouTube,Hope,Pro-Uprising,Positive
আপনার এমন চিন্তা ভাবনার জন্য সব হারালেন। আর এই মাটিতে ফিরতে পারবেন?,Bangla,YouTube,Hope,Pro-Uprising,Positive
কত পরিবারের স্বপ্ন শেষ করলেন। নিজেতো গেলেন সঙ্গে কত কত প্রান শেষ করলেন।,Bangla,YouTube,Hope,Pro-Uprising,Positive
আর কত কত মানুষ যে তাদের শরীরের অঙ্গ হারালো তা হিসেবের বাইরে। আমরা এই জেনারেশন আপনাকে কখনো ক্ষমা করবো না।,Bangla,YouTube,Hope,Pro-Uprising,Positive
আপনার ভুল সিদ্ধান্তের জন্য আমরা কত ভাই বোন হারালাম। তাদের রক্তে আমাদের আবার ২য় বার স্বাধীনতা অর্জন করতে হলো।,Bangla,YouTube,Hope,Pro-Uprising,Positive
যাদের জন্য স্বাধীনতা পেলাম তারা সবাই কবরে শুয়ে আছে। আল্লাহ আপনার বিচার করবে। বিচার যদিও শুরু হয়ে গেছে। কিন্তু এত সহজে ক্ষমা পাবেন না।,Bangla,YouTube,Sadness,Pro-Uprising,Positive
